SongId,track_number,album_name,track_name,popularity,duration_ms,explicit
1,4qPNDBW1i3p13qLCt0Ki3A,Ghost (Acoustic),Ghost - Acoustic,55,149610,FALSE
2,1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,To Begin Again,57,210826,FALSE
3,6lfxq3CG4xtTiEg7opyCyx,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,71,201933,FALSE
4,5vjLSffimiIP26QG5WcN2K,Hold On,Hold On,82,198853,FALSE
5,01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,Days I Will Remember,58,214240,FALSE
6,6Vc5wAMmXdKIAM7WUoEb7N,Is There Anybody Out There?,Say Something,74,229400,FALSE
7,1EzrEOXmMH3G43AXT1y7pA,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,FALSE
8,0IktbUcnAGrvD03AWnz3Q8,We Sing. We Dance. We Steal Things.,Lucky,74,189613,FALSE
9,7k9GuJYLp2AzqokyEdwEw2,Hunger,Hunger,56,205594,FALSE
10,4mzP5mHkRvGxdhdGdAH7EJ,Episode,Give Me Your Forever,74,244800,FALSE
11,5ivF4eQBqJiVL5IAE9jRyl,Love Is a Four Letter Word,I Won't Give Up,69,240165,FALSE
12,4ptDJbJl35d7gQfeNteBwp,Solo,Solo,52,198712,FALSE
13,0X9MxHR1rTkEHDjp95F2OO,Bad Liar,Bad Liar,62,248448,FALSE
14,4LbWtBkN82ZRhz9jqzgrb3,Hold On (Remix),Hold On - Remix,56,188133,FALSE
15,1KHdq8NK9QxnGjdXb55NiG,The Boy Who Never,Falling in Love at a Coffee Shop,58,244986,FALSE
16,6xKeQgzfjixSUld14qUezm,ily (i love you baby),ily (i love you baby),56,129750,FALSE
17,4Yo0igmcoNyat1secaH0OD,At My Worst,At My Worst,54,169728,FALSE
18,2qLMf6TuEC3ruGJg4SMMN6,We Sing. We Dance. We Steal Things.,Lucky,68,189613,FALSE
19,6CgNoAbFJ4Q4Id4EjtbXlC,"Cover Sessions, Vol. 4",Photograph,67,260186,FALSE
20,3S0OXQeoh0w6AY8WQVckRW,We Sing. We Dance. We Steal Things.,I'm Yours,75,242946,FALSE
21,210JCw2LbYD4YIs8GiZ9iP,"Cover Sessions, Vol. 3",Demons,63,174174,FALSE
22,5TvE3pk05pyFIGdSY9j4DJ,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,229400,FALSE
23,0BUuuEvNa5T4lMaewyiudB,Coffee Moment,93 Million Miles,0,216386,FALSE
24,3Hn3LfhrQOaKihdCibJsTs,Human - Best Adult Pop Tunes,Unlonely,0,231266,FALSE
25,6D33wCKzWtNEgOovgeVJ7r,Mellow Adult Pop,Bella Luna,1,302346,FALSE
26,5IfCZDRXZrqZSm8AwE44PG,Holly Jolly Christmas,Winter Wonderland,0,131760,FALSE
27,0dzKBptH2P5j5a0MifBMwM,Feeling Good - Adult Pop Favorites,If It Kills Me,0,273653,FALSE
28,5QAMZTM5cmLg3fHX9ZbTZi,Christmas Time,Winter Wonderland,0,131760,FALSE
29,2qESE1ZeWly7I3YjyTXmXh,Perfect Christmas Hits,Winter Wonderland,0,131760,FALSE
30,3EQV1ZHtHvq9OnVRYIdbg3,Merry Christmas,Winter Wonderland,0,131760,FALSE
31,3ax0rfGb7exLtl02LL08U9,Christmas Music - Holiday Hits,Winter Wonderland,0,131760,FALSE
32,1m5LC29RE52Bxy7hxvpOlL,Christmas Country Songs 2022,All I Want For Christmas Is A Real Good Tan,0,234186,FALSE
33,3H36x7buZdQD4687VmFrwY,Human - Best Adult Pop Tunes,Party of One,0,259558,FALSE
34,0xbMRcMFqxJq1Wa7tvWPtn,Feeling Good - Adult Pop Favorites,Party of One,0,259558,FALSE
35,6h061f44HZPj1OXO2nA45d,Mellow Bars R'n'B,Party of One,0,259558,FALSE
36,62EwQLDw0dprDzuLwQ0sH1,Chill Christmas Dinner,Lonely This Christmas,0,257493,FALSE
37,3lvo0I8c2qBJDLZWqExDgC,rainy day indie,Throwing Good After Bad,0,247791,FALSE
38,1ae8XfBQ3fDEvmBjFaemGV,Coffee Moment,This Time Tomorrow,0,206267,FALSE
39,0adVktNVJXPZfhQe6B1NO5,sadsadchristmas,Lonely This Christmas,0,257493,FALSE
40,6sp6Vx3sv2l5qxPfbQkcyt,Mega Hits Autumn/Fall 2022,The Haves,0,306794,FALSE
41,1WFVfVjCtbmdIv7j3Fa9iy,Mellow Adult Pop,When You're Wrong,0,266960,FALSE
42,0e5PAxSyZ5DWWVqKANHETz,Country Car Hits,You and Me on the Rock,0,230098,FALSE
43,1MLr9b1fOybO3MGiLy47Ys,Country Road Songs,You and Me on the Rock,0,230098,FALSE
44,6JGjevTaqr9J1xp7YvYUKF,Finest Country,"Speak Your Mind (From the Netflix Series ""We The People"")",0,193943,FALSE
